trade_date,date_str,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma20,ma60,dif,dea,macd,kdj_k,kdj_d,kdj_j,rsi6,rsi12,rsi24,boll_upper,boll_mid,boll_lower
20250729,2025-07-29,1439.6,1448.79,1435.01,1439.0,1438.66,0.34,0.0236,26304.08,3785848.102,1459.93,1447.2,,,10.0862,8.5012,3.17,47.37,56.28,29.56,48.03,54.01,,,,
20250730,2025-07-30,1444.0,1457.16,1437.0,1449.44,1439.0,10.44,0.7255,31867.71,4612883.04,1454.72,1451.04,1434.65,,9.7226,8.7455,1.9542,44.92,52.49,29.78,41.38,58.24,,1479.25,1434.65,1390.05
20250731,2025-07-31,1443.0,1444.87,1418.0,1421.67,1449.44,-27.77,-1.9159,51797.51,7386302.758,1440.75,1451.58,1434.96,,7.1117,8.4187,-2.614,31.46,45.48,3.41,24.94,53.1,,1479.12,1434.96,1390.8
20250801,2025-08-01,1421.87,1425.96,1414.0,1417.0,1421.67,-4.67,-0.3285,29635.59,4200850.79,1433.15,1449.58,1434.7,,4.6126,7.6575,-6.0898,22.15,37.7,-8.96,11.22,51.69,,1479.21,1434.7,1390.18
20250804,2025-08-04,1415.0,1419.8,1414.0,1419.0,1417.0,2.0,0.1411,18687.95,2647105.74,1429.22,1447.17,1435.11,,2.7615,6.6783,-7.8336,16.73,30.71,-11.24,20.76,50.76,,1478.87,1435.11,1391.35
20250805,2025-08-05,1421.0,1429.94,1417.11,1427.74,1419.0,8.74,0.6159,25342.27,3607931.488,1426.97,1443.45,1435.69,,1.977,5.738,-7.522,16.54,25.99,-2.36,39.88,47.13,,1478.73,1435.69,1392.65
20250806,2025-08-06,1429.0,1429.0,1419.3,1423.88,1427.74,-3.86,-0.2704,23699.28,3372334.94,1421.86,1438.29,1435.94,,1.0319,4.7968,-7.5298,15.28,22.42,1.01,36.85,43.99,51.71,1478.65,1435.94,1393.24
20250807,2025-08-07,1423.88,1427.7,1420.06,1422.35,1423.88,-1.53,-0.1075,28001.34,3988765.795,1421.99,1431.37,1435.74,,0.1576,3.869,-7.4228,16.64,20.49,8.93,22.11,34.63,50.03,1478.66,1435.74,1392.81
20250808,2025-08-08,1423.05,1426.5,1418.0,1420.97,1422.35,-1.38,-0.097,18655.28,2651478.118,1422.79,1427.97,1435.43,,-0.6392,2.9674,-7.2132,16.47,19.15,11.12,48.42,28.96,52.27,1478.68,1435.43,1392.18
20250811,2025-08-11,1423.5,1451.99,1423.0,1445.0,1420.97,24.03,1.6911,47159.07,6794034.09,1427.99,1428.61,1436.5,,0.6607,2.5061,-3.6908,34.92,24.41,55.96,83.7,33.1,55.9,1479.59,1436.5,1393.42
20250812,2025-08-12,1449.0,1465.07,1436.0,1437.04,1445.0,-7.96,-0.5509,42019.23,6095342.036,1429.85,1428.41,1437.81,,1.0366,2.2122,-2.3512,38.32,29.05,56.87,68.99,41.77,53.63,1479.27,1437.81,1396.34
20250813,2025-08-13,1425.0,1433.68,1420.0,1420.05,1437.04,-16.99,-1.1823,65527.54,9325460.101,1429.08,1425.47,1438.26,,-0.036,1.7626,-3.5972,29.5,29.2,30.1,43.1,41.52,48.76,1478.73,1438.26,1397.78
20250814,2025-08-14,1420.94,1447.51,1420.94,1426.99,1420.05,6.94,0.4887,48129.3,6897535.33,1430.01,1426.0,1438.79,,-0.3224,1.3456,-3.336,28.14,28.85,26.74,52.64,44.84,50.0,1478.37,1438.79,1399.21
20250815,2025-08-15,1426.01,1428.66,1420.22,1422.08,1426.99,-4.91,-0.3441,47581.65,6772436.997,1430.23,1426.51,1438.04,,-0.9347,0.8895,-3.6484,22.22,26.64,13.38,49.78,37.65,49.72,1478.29,1438.04,1397.8
20250818,2025-08-18,1426.99,1436.64,1423.1,1428.5,1422.08,6.42,0.4515,47377.98,6773477.871,1426.93,1427.46,1437.32,,-0.8917,0.5333,-2.85,22.25,25.17,16.39,55.6,53.82,53.35,1477.7,1437.32,1396.94
20250819,2025-08-19,1433.5,1446.66,1432.0,1438.0,1428.5,9.5,0.665,46371.86,6678541.001,1427.12,1428.49,1435.97,,-0.09,0.4086,-0.9972,28.99,26.45,34.09,43.36,61.14,54.98,1474.32,1435.97,1397.62
20250820,2025-08-20,1438.0,1452.8,1430.02,1450.0,1438.0,12.0,0.8345,45804.66,6623095.725,1433.11,1431.1,1434.69,,1.4964,0.6262,1.7404,41.99,31.63,62.72,61.42,64.87,56.06,1469.2,1434.69,1400.18
20250821,2025-08-21,1453.45,1454.99,1443.65,1448.25,1450.0,-1.75,-0.1207,30890.57,4470441.662,1437.37,1433.69,1432.53,,2.5827,1.0175,3.1304,48.89,37.38,71.9,83.96,60.54,52.18,1456.27,1432.53,1408.79
20250822,2025-08-22,1448.88,1464.0,1444.77,1463.95,1448.25,15.7,1.0841,44970.58,6544867.368,1445.74,1437.99,1432.98,,4.6567,1.7453,5.8228,65.1,46.62,102.05,86.75,68.36,53.9,1458.65,1432.98,1407.3
20250825,2025-08-25,1470.01,1496.0,1466.0,1490.33,1463.95,26.38,1.802,65324.55,9676719.498,1458.11,1442.52,1435.56,,8.333,3.0628,10.5404,74.24,55.83,111.08,97.56,75.37,54.65,1471.39,1435.56,1399.73
20250826,2025-08-26,1490.32,1494.23,1480.01,1481.61,1490.33,-8.72,-0.5851,39602.13,5883917.0,1466.83,1446.98,1437.69,,10.4227,4.5348,11.7758,76.5,62.72,104.06,85.86,71.46,51.13,1478.77,1437.69,1396.61
20250827,2025-08-27,1481.88,1484.93,1448.0,1448.0,1481.61,-33.61,-2.2685,56006.09,8184169.113,1466.43,1449.77,1437.62,,9.26,5.4798,7.5604,63.22,62.89,63.89,55.09,50.99,42.46,1478.62,1437.62,1396.62
20250828,2025-08-28,1447.97,1456.1,1438.77,1446.1,1448.0,-1.9,-0.1312,39281.77,5683673.273,1466.0,1451.68,1438.84,,8.092,6.0022,4.1796,52.66,59.48,39.03,47.79,53.13,48.25,1479.32,1438.84,1398.36
20250829,2025-08-29,1453.0,1482.58,1452.0,1480.0,1446.1,33.9,2.3442,62256.48,9159701.454,1469.21,1457.47,1441.99,,9.789,6.7596,6.0588,60.36,59.77,61.53,63.21,68.53,57.61,1484.91,1441.99,1399.07
20250901,2025-09-01,1482.2,1488.0,1465.7,1476.1,1480.0,-3.9,-0.2635,45123.38,6658918.555,1466.36,1462.23,1444.85,,10.6958,7.5468,6.298,63.52,61.02,68.52,55.6,65.47,56.75,1488.85,1444.85,1400.84
20250902,2025-09-02,1478.66,1509.0,1478.0,1491.3,1476.1,15.2,1.0297,56688.37,8470012.816,1468.3,1467.56,1448.03,,12.4969,8.5368,7.9202,67.28,63.11,75.62,50.5,70.48,57.48,1495.66,1448.03,1400.39
20250903,2025-09-03,1491.0,1503.5,1466.0,1480.55,1491.3,-10.75,-0.7208,45045.03,6656011.145,1474.81,1470.62,1450.86,,12.9081,9.4111,6.994,64.68,63.63,66.78,49.47,65.02,61.2,1499.15,1450.86,1402.57
20250904,2025-09-04,1472.0,1479.3,1460.47,1472.66,1480.55,-7.89,-0.5329,47746.76,7017084.75,1480.12,1473.06,1453.37,,12.4538,10.0196,4.8684,59.21,62.16,53.31,66.77,60.09,60.46,1500.7,1453.37,1406.05
20250905,2025-09-05,1471.0,1486.97,1464.0,1483.0,1472.66,10.34,0.7021,37388.48,5519312.163,1480.72,1474.96,1456.48,,12.7807,10.5718,4.4178,60.46,61.59,58.21,72.51,59.7,61.67,1503.02,1456.48,1409.93
20250908,2025-09-08,1483.0,1506.44,1477.5,1501.23,1483.0,18.23,1.2293,51382.98,7682065.696,1485.75,1476.05,1459.29,,14.3454,11.3265,6.0378,69.95,64.38,81.1,66.01,64.2,62.95,1509.38,1459.29,1409.2
20250909,2025-09-09,1505.0,1509.95,1493.42,1505.0,1501.23,3.77,0.2511,35742.77,5366650.005,1488.49,1478.39,1462.68,,15.7087,12.2029,7.0116,77.65,68.8,95.35,71.83,61.76,64.3,1515.43,1462.68,1409.94
20250910,2025-09-10,1506.66,1529.95,1496.0,1522.01,1505.0,17.01,1.1302,49663.31,7541460.049,1496.78,1485.8,1467.78,,17.9546,13.3532,9.2028,81.71,73.1,98.91,72.58,59.59,66.66,1522.72,1467.78,1412.85
20250911,2025-09-11,1522.01,1526.02,1508.5,1523.5,1522.01,1.49,0.0979,37238.96,5642778.456,1506.95,1493.54,1472.61,,19.6285,14.6083,10.0404,84.71,76.97,100.18,86.57,63.26,67.13,1529.29,1472.61,1415.92
20250912,2025-09-12,1526.0,1538.02,1510.53,1516.0,1523.5,-7.5,-0.4923,33722.09,5132184.935,1513.55,1497.13,1477.3,,20.118,15.7102,8.8156,80.34,78.1,84.83,87.14,75.78,62.55,1531.99,1477.3,1422.62
20250915,2025-09-15,1515.87,1517.48,1501.5,1515.1,1516.0,-0.9,-0.0594,25827.03,3901929.718,1516.32,1501.04,1481.63,,20.2004,16.6082,7.1844,77.04,77.74,75.64,82.82,76.36,64.16,1533.84,1481.63,1429.43
20250916,2025-09-16,1515.1,1520.99,1496.21,1499.98,1515.1,-15.12,-0.998,32717.89,4928374.478,1515.32,1501.9,1484.73,,18.8286,17.0523,3.5526,68.34,74.61,55.81,48.64,58.91,64.59,1533.45,1484.73,1436.02
20250917,2025-09-17,1499.99,1510.28,1490.01,1493.0,1499.98,-6.98,-0.4653,30330.54,4534770.634,1509.52,1503.15,1486.88,,16.9825,17.0383,-0.1116,58.62,69.28,37.3,37.76,57.34,62.05,1533.0,1486.88,1440.76
20250918,2025-09-18,1492.0,1497.8,1463.5,1467.96,1493.0,-25.04,-1.6772,49721.25,7347477.479,1498.41,1502.68,1487.87,,13.3451,16.2997,-5.9092,41.08,59.88,3.47,2.61,40.67,57.8,1531.42,1487.87,1444.32
